domain,domain_label,threshold,threshold_label,re,re_label,model_file,term_raw,term,label,domain_group,param_type,transition,median,mean,sd,q025,q05,q95,q975,p_gt_0,p_lt_0
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_peduc_c,peduc_c,Parental Education,Cultural Capital,scalar,global,-0.01991055,-0.020328440776325,0.032711742630202316,-0.08377164749999999,-0.073750205,0.033844864999999884,0.04291676000000001,0.2705,0.7295
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_arts_c,arts_c,Childhood Arts Socialization,Cultural Capital,scalar,global,-0.08908579999999999,-0.08930193381175,0.03206079123771052,-0.15070495,-0.14043465,-0.03775191500000001,-0.02525208499999999,0.00275,0.99725
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_social_c,social_c,Social Conservatism,Ideology,scalar,global,0.106544,0.107789996198,0.04498668337932631,0.02020261,0.03624024,0.18443349999999994,0.19859622500000002,0.99275,0.00725
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_economic_c,economic_c,Economic Conservatism,Ideology,scalar,global,0.003411605,0.00212898066126775,0.04515290418374877,-0.08918012499999999,-0.073953865,0.07461988,0.09048092,0.5285,0.4715
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_fancy_rest_c,fancy_rest_c,Fine Dining Frequency,Dining & Arts Practices,scalar,global,0.0865564,0.08771079663025,0.038221525642395796,0.013395287500000002,0.025225320000000002,0.1515951,0.16455990000000004,0.9945,0.0055
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_fast_food_c,fast_food_c,Fast Food Frequency,Dining & Arts Practices,scalar,global,0.02675625,0.026912495250424998,0.027867888125646837,-0.0262245275,-0.01920225,0.072569995,0.082497005,0.8355,0.1645
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_highbrow_arts_c,highbrow_arts_c,Adult Highbrow Arts Attendance,Dining & Arts Practices,scalar,global,0.14191199999999998,0.141368625525,0.039521234173051596,0.06377013,0.07477783,0.20536969999999996,0.21515905,1,0
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_income_c,income_c,Household Income,Demographics,scalar,global,0.00691553,0.0066983232109999995,0.031039416649187496,-0.0538606425,-0.043997265,0.05687248999999999,0.06804842000000001,0.5805,0.4195
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_age_c,age_c,Age,Demographics,scalar,global,-0.0268151,-0.027037920769165,0.031728346900225274,-0.0890086575,-0.07916423,0.024269929999999988,0.035444565,0.195,0.805
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_gend.fWoman,gend.fWoman,Gender: Woman,Demographics,scalar,global,-0.1651125,-0.16338113265325,0.05534936242773953,-0.26702704999999993,-0.2516564,-0.07109589000000006,-0.05154173249999999,0.00125,0.99875
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_gend.fNonbinaryDOther,gend.fNonbinaryDOther,Gender: Nonbinary / Other,Demographics,scalar,global,-0.2870815,-0.28468112211275,0.25796816932726063,-0.78896105,-0.7028738499999999,0.13864159999999953,0.22655815000000004,0.1355,0.8645
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_race.fAsian,race.fAsian,Ethnoracial: Asian,Ethnoracial Identification,scalar,global,-0.06615365,-0.062624130474725,0.11999288940081551,-0.29025209999999996,-0.25570424999999997,0.14247179999999984,0.18230990000000008,0.297,0.703
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_race.fBlack,race.fBlack,Ethnoracial: Black,Ethnoracial Identification,scalar,global,-0.024567199999999997,-0.022137335772475,0.08633846808215458,-0.18694565,-0.1560749,0.12521764999999993,0.150987525,0.39275,0.60725
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_race.fHispanic,race.fHispanic,Ethnoracial: Hispanic / Latino,Ethnoracial Identification,scalar,global,0.00754521,0.0075618363953124995,0.11893055092828156,-0.236657225,-0.1930216,0.20646594999999995,0.23173252500000005,0.52725,0.47275
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_race.fMixedOther,race.fMixedOther,Ethnoracial: Mixed Other,Ethnoracial Identification,scalar,global,-0.1760555,-0.17127437528275,0.16760061250413097,-0.500986625,-0.4408182,0.11540334999999993,0.16411367500000015,0.15725,0.84275
practices,Dining Practices,strict,Strict (Equal Slopes),ri,Random Intercepts,hier_practices_strict_ri.rds,b_race.fMixedWhite,race.fMixedWhite,Ethnoracial: Mixed White,Ethnoracial Identification,scalar,global,-0.23518899999999998,-0.233925783571375,0.10048611198756786,-0.4260813,-0.39708395,-0.07153858,-0.03625724249999993,0.01275,0.98725
practices,Dining Practices,relaxed,Relaxed CS,ri,Random Intercepts,hier_practices_relaxed_ri.rds,b_income_c,income_c,Household Income,Demographics,scalar,global,0.006155685,0.0065412813998675,0.03200210565853948,-0.058420715,-0.045924545000000004,0.058710059999999974,0.06850086000000001,0.5855,0.4145
practices,Dining Practices,relaxed,Relaxed CS,ri,Random Intercepts,hier_practices_relaxed_ri.rds,b_age_c,age_c,Age,Demographics,scalar,global,-0.028215450000000003,-0.0275133982082895,0.030398009022735362,-0.0873951225,-0.077167605,0.022223244999999982,0.03149625,0.188,0.812
